Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
316100,36,029,009501,4,-666666666,100,664,-666666666.0,11,1028,0,327,312,15,327,0,1016,12,1028,2014
137900,36,029,009502,1,756,328,1046,16.9,76,1316,0,540,398,142,540,0,1271,25,1339,2014
133400,36,029,009502,2,694,524,1543,25.5,113,1643,107,830,381,342,723,37,1735,60,1955,2014
135800,36,029,009502,3,-666666666,207,994,-666666666.0,12,1289,83,701,592,26,618,52,1202,47,1289,2014
163100,36,029,009502,4,-666666666,15,602,-666666666.0,22,833,0,317,317,0,317,0,787,0,833,2014
156000,36,029,009502,5,707,173,940,42.9,177,1438,46,641,461,134,595,64,1283,14,1448,2014
166800,36,029,009600,1,1165,319,1093,18.9,58,1469,14,708,359,335,694,190,1109,36,1469,2014
222500,36,029,009600,2,1249,611,2196,50.0,248,2657,82,1472,760,630,1390,22,2548,64,2705,2014
240100,36,029,009600,3,827,526,1848,29.3,159,1940,51,1218,303,864,1167,23,1851,120,2078,2014
110500,36,029,009701,1,758,515,1083,23.4,168,1454,96,793,379,318,697,36,1419,1,1454,2014
108600,36,029,009701,2,986,573,1128,24.7,0,1566,0,614,582,32,614,10,1490,34,1566,2014
101900,36,029,009702,1,850,461,968,24.1,29,1216,0,565,456,109,565,10,1163,0,1216,2014
99300,36,029,009702,2,-666666666,402,855,-666666666.0,37,1159,20,461,441,0,441,23,1121,12,1198,2014
105400,36,029,009702,3,-666666666,416,774,-666666666.0,43,1044,0,467,430,37,467,18,1035,0,1044,2014
94800,36,029,009702,4,576,323,785,32.0,101,1141,0,463,351,112,463,47,1106,0,1141,2014
103500,36,029,009800,1,566,404,737,45.1,177,969,49,499,303,147,450,24,969,0,969,2014
126200,36,029,009800,2,657,235,483,29.3,75,752,15,290,146,129,275,76,748,0,752,2014
69700,36,029,009900,1,468,542,1181,28.3,99,1606,35,707,538,134,672,0,1539,54,1606,2014
78800,36,029,009900,2,492,274,437,27.9,264,727,51,401,196,154,350,10,665,36,727,2014
71000,36,029,009900,3,594,725,1137,22.7,101,1309,73,776,456,247,703,23,1309,0,1309,2014
95000,36,029,010001,1,661,600,1382,25.5,160,1977,38,835,624,173,797,61,1915,0,1977,2014
94100,36,029,010001,2,558,376,813,23.8,58,987,0,497,366,131,497,0,1003,0,1003,2014
105100,36,029,010002,1,592,795,1479,26.0,110,1848,111,1017,653,253,906,91,1779,1,1848,2014
106800,36,029,010002,2,663,593,1157,23.9,62,1426,61,723,608,54,662,0,1390,24,1426,2014
25300,36,029,010002,3,-666666666,327,597,-666666666.0,27,666,32,471,418,21,439,0,666,0,666,2014
87800,36,029,010003,1,527,619,1389,32.4,142,1766,34,814,560,220,780,78,1558,60,1766,2014
115100,36,029,010003,2,704,523,968,31.1,200,1390,38,592,389,165,554,0,1235,50,1390,2014
103700,36,029,010003,3,477,245,494,33.4,141,823,0,345,195,150,345,0,823,0,823,2014
108400,36,029,010101,1,-666666666,156,541,-666666666.0,0,801,0,340,331,9,340,0,659,142,801,2014
84200,36,029,010101,2,850,479,954,31.9,71,1325,95,719,504,120,624,34,1232,93,1325,2014
106200,36,029,010101,3,538,352,917,20.8,48,1265,79,587,421,87,508,0,991,197,1265,2014
91300,36,029,010101,4,-666666666,420,853,-666666666.0,40,1110,0,477,456,21,477,52,859,227,1124,2014
93400,36,029,010102,1,640,318,798,33.2,76,1144,67,707,296,344,640,54,739,247,1170,2014
88300,36,029,010102,2,514,177,349,35.4,150,504,112,387,94,181,275,18,319,155,504,2014
61800,36,029,010102,3,502,405,1014,28.9,535,1819,128,866,209,529,738,190,1180,549,1819,2014
90000,36,029,010103,1,514,681,1512,38.0,295,2147,0,828,703,125,828,0,2084,44,2147,2014
88000,36,029,010103,2,721,316,796,34.8,56,1160,86,567,336,145,481,12,1020,139,1160,2014
93100,36,029,010103,3,627,259,572,24.9,44,828,24,451,164,263,427,0,703,112,828,2014
97800,36,029,010201,1,-666666666,147,496,-666666666.0,20,630,43,368,307,18,325,0,581,34,630,2014
97900,36,029,010201,2,631,302,1091,24.2,168,1612,50,696,466,180,646,0,1214,307,1612,2014
92800,36,029,010201,3,-666666666,172,407,-666666666.0,58,590,0,260,226,34,260,0,183,323,590,2014
66900,36,029,010202,1,538,441,1155,33.9,294,1821,118,870,466,286,752,92,544,1165,1861,2014
94700,36,029,010202,2,-666666666,91,316,-666666666.0,0,297,48,191,121,22,143,50,440,299,910,2014
80400,36,029,010202,3,1013,186,567,34.9,163,781,134,506,308,64,372,103,620,114,801,2014
67400,36,029,010300,1,534,156,479,40.8,238,743,37,333,130,166,296,88,266,267,743,2014
78100,36,029,010300,2,575,227,485,24.4,188,780,27,267,137,103,240,40,453,262,786,2014
67700,36,029,010400,1,582,359,921,39.7,469,1619,101,720,365,254,619,102,1199,273,1635,2014
62900,36,029,010400,2,480,126,407,27.1,130,656,6,361,136,219,355,45,380,210,656,2014
86000,36,029,010500,1,627,190,365,34.6,134,535,25,284,164,95,259,4,410,121,535,2014
78200,36,029,010500,2,538,200,604,50.0,257,1116,0,407,305,102,407,24,779,272,1120,2014
77000,36,029,010500,3,659,203,539,23.3,115,774,81,439,233,125,358,0,595,138,774,2014
81700,36,029,010600,1,504,375,672,19.7,43,899,30,454,276,148,424,44,776,82,899,2014
88800,36,029,010600,2,537,458,1144,17.1,135,1566,100,782,526,156,682,12,1500,59,1566,2014
85600,36,029,010700,1,613,567,1006,24.4,157,1238,110,676,431,135,566,31,1119,52,1238,2014
89700,36,029,010700,2,667,232,453,22.7,9,558,0,280,240,40,280,17,501,57,558,2014
92200,36,029,010700,3,-666666666,279,419,-666666666.0,168,687,55,322,261,6,267,0,588,99,687,2014
111600,36,029,010803,1,414,438,896,34.4,91,1208,11,533,434,88,522,0,1197,0,1208,2014
96200,36,029,010803,2,595,458,739,23.7,34,678,36,360,160,164,324,0,864,0,870,2014
152800,36,029,010804,1,586,547,1287,35.7,117,1696,33,752,522,197,719,12,1651,23,1696,2014
153300,36,029,010804,2,791,804,1936,24.9,51,2353,28,1190,935,227,1162,75,2218,34,2353,2014
123300,36,029,010805,1,829,896,1593,19.0,117,2078,0,868,830,38,868,84,2033,0,2078,2014
117600,36,029,010805,2,-666666666,523,1006,-666666666.0,0,1428,0,567,503,64,567,8,1406,0,1428,2014
122300,36,029,010805,3,676,506,1156,24.3,39,1612,46,734,463,225,688,34,1612,0,1612,2014
108000,36,029,010807,1,766,936,1686,31.6,349,2315,74,1111,452,585,1037,173,1824,272,2315,2014
121200,36,029,010807,2,-666666666,249,479,-666666666.0,0,543,0,300,278,22,300,22,526,0,543,2014
124900,36,029,010807,3,607,435,845,25.3,60,1074,25,529,301,203,504,95,979,27,1074,2014
120500,36,029,010807,4,763,524,1013,29.8,126,1258,46,613,324,243,567,0,1211,0,1258,2014
119200,36,029,010808,1,694,575,1190,50.0,161,1482,58,691,508,125,633,8,1385,120,1521,2014
111900,36,029,010808,2,770,603,1312,20.1,264,1905,57,941,292,592,884,157,1163,191,1905,2014
-666666666,36,029,010808,3,861,54,162,35.6,23,211,0,131,0,131,131,0,211,0,211,2014
112700,36,029,010808,4,-666666666,78,219,-666666666.0,0,286,14,156,114,28,142,26,266,0,286,2014
111700,36,029,010809,1,784,286,918,21.2,10,1284,0,539,394,145,539,38,1248,0,1284,2014
133600,36,029,010809,2,-666666666,573,1457,-666666666.0,38,1998,12,826,775,39,814,13,1918,28,1998,2014
80800,36,029,010901,1,-666666666,202,456,-666666666.0,0,604,65,379,262,52,314,10,544,26,604,2014
89500,36,029,010901,2,472,307,663,12.2,52,761,54,446,355,37,392,9,751,10,761,2014
79500,36,029,010901,3,434,405,613,24.0,92,858,0,349,285,64,349,230,618,10,858,2014
112800,36,029,010902,1,815,430,961,27.0,267,1164,0,716,119,597,716,119,934,212,1164,2014
100800,36,029,010902,2,696,657,1194,29.7,70,1309,52,789,470,267,737,0,1220,89,1309,2014
99000,36,029,010902,3,525,483,987,44.6,30,1094,0,563,525,38,563,16,1079,15,1094,2014
116300,36,029,010902,4,750,410,629,42.9,150,739,0,451,94,357,451,14,590,149,739,2014
88500,36,029,011000,1,1008,269,454,28.0,0,535,26,282,220,36,256,0,528,0,535,2014
90800,36,029,011000,2,490,172,362,50.0,114,566,47,294,168,79,247,12,562,0,566,2014
73700,36,029,011000,3,572,227,406,50.0,239,738,33,306,181,92,273,41,592,0,738,2014
80500,36,029,011100,1,519,732,1308,10.0,122,1743,4,720,651,65,716,53,1655,91,1747,2014
79200,36,029,011100,2,721,301,452,19.1,65,579,24,302,215,63,278,6,573,0,579,2014
157900,36,029,011200,1,430,1276,2758,34.6,222,3335,11,1659,1321,327,1648,0,3286,0,3370,2014
155000,36,029,011200,2,685,220,514,21.6,67,691,74,396,217,105,322,0,691,0,691,2014
141400,36,029,011200,3,541,315,736,19.1,13,1085,37,474,362,75,437,0,1085,0,1085,2014
214100,36,029,011200,4,923,310,980,50.0,0,1419,36,611,532,43,575,51,1377,15,1419,2014
104900,36,029,011300,1,671,920,1814,28.3,302,2470,49,1155,659,447,1106,5,2093,337,2501,2014
95000,36,029,011300,2,488,384,634,-666666666.0,51,692,0,304,255,49,304,0,692,0,692,2014
